,dataset,amount_of_features,feature_importance_method,mse
0,diabetes,2,random_forest,3799.579
1,diabetes,4,random_forest,3325.319
2,diabetes,6,random_forest,3430.932
3,diabetes,8,random_forest,3266.342
4,diabetes,10,random_forest,3265.961
5,diabetes,2,gradient_boosting,3470.657
6,diabetes,4,gradient_boosting,3392.245
7,diabetes,6,gradient_boosting,3680.061
8,diabetes,8,gradient_boosting,3477.072
9,diabetes,10,gradient_boosting,3505.655
10,diabetes,2,xgboost,4601.701
11,diabetes,4,xgboost,4690.077
12,diabetes,6,xgboost,4533.303
13,diabetes,8,xgboost,3917.901
14,diabetes,10,xgboost,4236.142
15,diabetes,2,custom1,3802.211
16,diabetes,4,custom1,3330.017
17,diabetes,6,custom1,3405.56
18,diabetes,8,custom1,3277.859
19,diabetes,10,custom1,3245.714
20,diabetes,2,custom2,3802.211
21,diabetes,4,custom2,3330.017
22,diabetes,6,custom2,3436.852
23,diabetes,8,custom2,3237.654
24,diabetes,10,custom2,3250.536
25,diabetes,2,custom3,3799.579
26,diabetes,4,custom3,3325.319
27,diabetes,6,custom3,3430.932
28,diabetes,8,custom3,3266.342
29,diabetes,10,custom3,3265.961
30,iris,1,random_forest,0.039
31,iris,1,random_forest,0.039
32,iris,2,random_forest,0.018
33,iris,3,random_forest,0.014
34,iris,4,random_forest,0.011
35,iris,1,gradient_boosting,0.017
36,iris,1,gradient_boosting,0.017
37,iris,2,gradient_boosting,0.024
38,iris,3,gradient_boosting,0.04
39,iris,4,gradient_boosting,0.038
40,iris,1,xgboost,0.017
41,iris,1,xgboost,0.017
42,iris,2,xgboost,0.042
43,iris,3,xgboost,0.036
44,iris,4,xgboost,0.036
45,iris,1,custom1,0.039
46,iris,1,custom1,0.039
47,iris,2,custom1,0.018
48,iris,3,custom1,0.014
49,iris,4,custom1,0.011
50,iris,1,custom2,0.039
51,iris,1,custom2,0.039
52,iris,2,custom2,0.018
53,iris,3,custom2,0.014
54,iris,4,custom2,0.011
55,iris,1,custom3,0.018
56,iris,1,custom3,0.018
57,iris,2,custom3,0.019
58,iris,3,custom3,0.012
59,iris,4,custom3,0.013
60,breast_cancer,6,random_forest,0.048
61,breast_cancer,12,random_forest,0.047
62,breast_cancer,18,random_forest,0.047
63,breast_cancer,24,random_forest,0.047
64,breast_cancer,30,random_forest,0.048
65,breast_cancer,6,gradient_boosting,0.044
66,breast_cancer,12,gradient_boosting,0.048
67,breast_cancer,18,gradient_boosting,0.042
68,breast_cancer,24,gradient_boosting,0.042
69,breast_cancer,30,gradient_boosting,0.043
70,breast_cancer,6,xgboost,0.046
71,breast_cancer,12,xgboost,0.045
72,breast_cancer,18,xgboost,0.044
73,breast_cancer,24,xgboost,0.042
74,breast_cancer,30,xgboost,0.05
75,breast_cancer,6,custom1,0.058
76,breast_cancer,12,custom1,0.047
77,breast_cancer,18,custom1,0.047
78,breast_cancer,24,custom1,0.047
79,breast_cancer,30,custom1,0.047
80,breast_cancer,6,custom2,0.057
81,breast_cancer,12,custom2,0.047
82,breast_cancer,18,custom2,0.047
83,breast_cancer,24,custom2,0.047
84,breast_cancer,30,custom2,0.047
85,breast_cancer,6,custom3,0.058
86,breast_cancer,12,custom3,0.047
87,breast_cancer,18,custom3,0.047
88,breast_cancer,24,custom3,0.047
89,breast_cancer,30,custom3,0.047
90,wine,2,random_forest,0.05
91,wine,5,random_forest,0.018
92,wine,7,random_forest,0.019
93,wine,10,random_forest,0.017
94,wine,13,random_forest,0.019
95,wine,2,gradient_boosting,0.068
96,wine,5,gradient_boosting,0.024
97,wine,7,gradient_boosting,0.025
98,wine,10,gradient_boosting,0.028
99,wine,13,gradient_boosting,0.027
100,wine,2,xgboost,0.074
101,wine,5,xgboost,0.029
